1400_1.png,32.20,0.982
1400_10.png,25.58,0.945
1400_2.png,31.22,0.981
1400_3.png,30.40,0.978
1400_4.png,29.68,0.975
1400_5.png,28.92,0.971
1400_6.png,28.16,0.967
1400_7.png,27.44,0.961
1400_8.png,26.74,0.956
1400_9.png,26.13,0.950
1401_1.png,33.43,0.983
1401_10.png,29.30,0.959
1401_2.png,32.61,0.981
1401_3.png,32.02,0.979
1401_4.png,31.71,0.977
1401_5.png,31.30,0.974
1401_6.png,30.94,0.971
1401_7.png,30.46,0.968
1401_8.png,30.07,0.965
1401_9.png,29.68,0.962
1402_1.png,36.63,0.984
1402_10.png,31.27,0.971
1402_2.png,36.25,0.983
1402_3.png,36.05,0.983
1402_4.png,35.66,0.982
1402_5.png,34.99,0.981
1402_6.png,34.36,0.979
1402_7.png,33.76,0.978
1402_8.png,32.88,0.976
1402_9.png,32.10,0.974
1403_1.png,33.23,0.990
1403_10.png,29.40,0.975
1403_2.png,32.73,0.989
1403_3.png,32.47,0.988
1403_4.png,32.04,0.987
1403_5.png,31.54,0.985
1403_6.png,30.80,0.983
1403_7.png,30.56,0.981
1403_8.png,29.91,0.979
1403_9.png,30.08,0.978
1404_1.png,33.60,0.988
1404_10.png,30.89,0.977
1404_2.png,33.15,0.987
1404_3.png,32.99,0.986
1404_4.png,32.44,0.984
1404_5.png,32.14,0.983
1404_6.png,31.86,0.982
1404_7.png,31.72,0.981
1404_8.png,31.36,0.979
1404_9.png,31.05,0.978
1405_1.png,31.57,0.985
1405_10.png,28.49,0.968
1405_2.png,31.32,0.984
1405_3.png,30.85,0.982
1405_4.png,30.54,0.981
1405_5.png,30.13,0.979
1405_6.png,29.55,0.976
1405_7.png,29.26,0.974
1405_8.png,29.08,0.973
1405_9.png,28.64,0.971
1406_1.png,33.46,0.986
1406_10.png,28.32,0.961
1406_2.png,32.79,0.983
1406_3.png,32.05,0.981
1406_4.png,31.56,0.978
1406_5.png,30.57,0.975
1406_6.png,30.12,0.972
1406_7.png,29.66,0.969
1406_8.png,29.01,0.966
1406_9.png,28.69,0.963
1407_1.png,34.10,0.991
1407_10.png,29.91,0.978
1407_2.png,33.76,0.991
1407_3.png,33.10,0.989
1407_4.png,32.79,0.988
1407_5.png,32.09,0.986
1407_6.png,31.72,0.985
1407_7.png,31.12,0.983
1407_8.png,30.85,0.982
1407_9.png,30.29,0.980
